name,element,team,position,value,total_points,minutes,goals_scored,assists,clean_sheets,yellow_cards,influence,creativity,threat,ict_index,round
Ibrahima Konaté,243,Liverpool,DEF,55,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Ilkay Gündogan,250,Man City,MID,75,2,90,0,0,0,0,12.4,7.8,32.0,5.2,1
Illan Meslier,199,Leeds,GK,50,1,90,0,0,0,0,21.6,0.0,0.0,2.2,1
Imrân Louza,403,Watford,MID,55,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Isaac Hayden,306,Newcastle,MID,45,2,90,0,0,0,0,8.8,3.3,8.0,2.0,1
Isaac Success Ajayi,393,Watford,FWD,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Ismaila Sarr,399,Watford,MID,60,9,90,1,0,0,0,48.4,46.1,44.0,13.9,1
Issa Diop,424,West Ham,DEF,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Ivan Toney,78,Brentford,FWD,65,2,90,0,0,1,0,6.2,15.8,4.0,2.6,1
Jack Butland,156,Crystal Palace,GK,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Jack Cork,101,Burnley,MID,45,2,84,0,0,0,0,0.8,1.1,12.0,1.4,1
Jack Grealish,33,Man City,MID,80,1,90,0,0,0,1,18.2,28.6,63.0,11.0,1
Jack Harrison,267,Leeds,MID,60,2,68,0,0,0,0,10.2,21.1,7.0,3.8,1
Jack Stephens,338,Southampton,DEF,45,1,90,0,0,0,0,10.0,0.5,2.0,1.3,1
Jacob Murphy,304,Newcastle,MID,50,7,90,1,0,0,0,43.4,20.3,30.0,9.4,1
Jacob Ramsey,51,Aston Villa,MID,45,1,45,0,0,0,0,0.6,12.1,5.0,1.8,1
Jacob Sørensen,327,Norwich,DEF,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Jaden Philogene-Bidace,497,Aston Villa,MID,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Jadon Sancho,485,Man Utd,MID,95,1,15,0,0,0,0,1.0,5.8,0.0,0.7,1
Jairo Riedewald,157,Crystal Palace,MID,50,2,76,0,0,0,0,2.8,5.4,0.0,0.8,1
Jakub Moder,75,Brighton,MID,45,4,18,0,1,0,0,21.2,10.8,19.0,5.1,1
Jamaal Lascelles,299,Newcastle,DEF,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Jamal Baptiste,554,West Ham,DEF,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Jamal Lewis,311,Newcastle,DEF,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
James Justin,218,Leicester,DEF,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
James Maddison,212,Leicester,MID,70,3,61,0,0,1,0,4.2,15.2,2.0,2.1,1
James McArthur,148,Crystal Palace,MID,45,2,90,0,0,0,0,24.8,26.0,4.0,5.5,1
James Milner,221,Liverpool,MID,50,2,90,0,0,1,1,21.0,18.8,0.0,4.0,1
James Rodríguez,166,Everton,MID,70,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
James Tarkowski,98,Burnley,DEF,50,6,90,1,0,0,1,49.0,0.6,44.0,9.4,1
James Tomkins,147,Crystal Palace,DEF,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
James Ward-Prowse,341,Southampton,MID,65,2,90,0,0,0,0,21.6,30.5,0.0,5.2,1
Jamie Shackleton,197,Leeds,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Jamie Vardy,205,Leicester,FWD,105,5,90,1,0,1,1,37.2,24.7,59.0,12.1,1
Jan Bednarek,343,Southampton,DEF,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Jan Zamburek,93,Brentford,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Jannik Vestergaard,340,Leicester,DEF,50,1,28,0,0,0,0,3.6,0.1,0.0,0.4,1
Japhet Tanganga,371,Spurs,DEF,45,6,82,0,0,1,0,13.8,5.7,2.0,2.2,1
Jarosław Jach,158,Crystal Palace,DEF,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Jarrad Branthwaite,544,Everton,DEF,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Jarrod Bowen,420,West Ham,MID,65,2,89,0,0,0,0,20.0,20.2,32.0,7.2,1
Jason Steele,54,Brighton,GK,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Javier Manquillo,302,Newcastle,DEF,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Jay Rodriguez,104,Burnley,FWD,55,2,69,0,0,1,0,6.6,2.5,17.0,2.6,1
Jean-Philippe Gbamin,504,Everton,MID,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Jean-Philippe Mateta,159,Crystal Palace,FWD,55,1,56,0,0,0,0,6.4,1.3,0.0,0.8,1
Jed Steer,28,Aston Villa,GK,40,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Jeff Hendrick,297,Newcastle,MID,50,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
Jeffrey Schlupp,155,Crystal Palace,MID,55,1,56,0,0,0,0,1.0,1.4,4.0,0.6,1
Jeremy Ngakia,400,Watford,DEF,45,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1
